site_ID,sample_dt,state_abb,HUC02_code,d2H__permil,d18O__permil,latitude,longitude,elevation__m,mean_annual_air_temp__degC,annual_precip__mm,d2H_precip_annual__permil,d18O_precip_annual__permil,dist2coast__km,d2H_precip_season_1__permil,d2H_precip_season_2__permil,d18O_precip_season_1__permil,d18O_precip_season_2__permil
AR001 - 343014091325401,2018-08-01,AR,8,-36.2,-5.7,34.50398587,-91.5484614,NaN,16.93000030517578,1249.6399993896484,-26.86533828361207,-4.645967457315994,516.6095,-33.21208563224074,-18.898257759247144,-5.539207114312484,-3.5246825324938746
AR008 - 331818091233401,2018-09-12,AR,8,-39.7,-5,33.305,-91.3927778,35.96464492532764,17.75,1369.120002746582,-24.930209593984113,-4.339586699483198,390.773625,-29.97452012999342,-18.451015743964632,-5.053338003122722,-3.422804698034724
AR008 - 334144091284201,2018-10-17,AR,8,-20.3,-5.3,33.69555556,-91.4783333,46.936909478817434,17.31999969482422,1323.1900100708008,-25.6610439234737,-4.4578901929001455,429.65709375,-31.01400912278812,-18.5522902425578,-5.213201893044422,-3.4548339110011677
AR008 - 334916091182501,2018-12-03,AR,8,-27.5,-5.8,33.8211111,-91.3069444,45.10819871990247,17.219999313354492,1295.4699935913086,-25.732677051909207,-4.470710015352182,438.6544375,-31.15488801340576,-18.529180973855656,-5.237192211757798,-3.4524258281889706
AR008 - 340740091211501,2018-09-14,AR,8,-31.1,-5.1,34.12777778,-91.3541667,54.25175251447729,17.06999969482422,1309.2600135803223,-26.10210263648813,-4.524979652125892,470.57384375,-31.91102553443503,-18.547604143184206,-5.3454165784981775,-3.4580022338226737
AR008 - 344651091355101,2018-11-27,AR,8,-20.7,-6.1,34.7808333,-91.5975,70.40536421822615,16.559999465942383,1260.7299880981445,-26.887372222771354,-4.661582117309384,543.7578125,-33.69103831828459,-18.616724557168805,-5.619436974271968,-3.497198091779164
AR008 - 344659091293701,2018-11-28,AR,8,-35,-5.5,34.78305556,-91.4936111,67.6622980798537,16.540000915527344,1261.0600128173828,-27.020914467311496,-4.6823591843649375,540.0975625,-33.77343216653297,-18.805899214945917,-5.634836218454094,-3.5235894872069085
AR008 - 353224090264601,2018-10-12,AR,8,-35.1,-5,35.54,-90.4461111,64.30966168850959,15.890000343322754,1241.9200057983398,-27.094981149274744,-4.784926842711346,590.33825,-34.44451405002653,-18.311008245121112,-5.858028492357999,-3.5023833762803918
AZ014 - 315216110122801,2007-09-15,AZ,15,-51,-7.4,31.87103333,-110.20845,1081.9871990246875,17.579999923706055,339.20999670028687,-45.33774627145734,-6.700457459832815,290.722125,-59.96191163941972,-37.34868577009726,-8.826864799224618,-5.538818727274343
AZ014 - 320327110222901,2008-02-02,AZ,15,-55,-8,32.056775,-110.3751444,1073.5141725083815,18.059999465942383,354.9399995803833,-44.554610115780974,-6.56469059343582,283.764875,-58.72324716632487,-36.61087908178573,-8.640720235214875,-5.4007521689019145
AZ014 - 320543110183201,2009-01-11,AZ,15,-50,-7.4,32.09569444,-110.3088333,1028.345016763182,18.209999084472656,344.4200015068054,-44.24088016672305,-6.568811110884478,288.21,-58.406438361205886,-36.022051643315216,-8.643329494997987,-5.365179699823146
